story_id,Coherence_std,Empathy_std,Surprise_std,Engagement_std,Complexity_std,Relevance_std
1,0.15654182839111774,0.11402633014083893,0.11822634527092814,0.128266673445058,0.12616053578095648,0.12883459644679965
3,0.2618368002105957,0.19678682075106213,0.22379357873613284,0.20952432869211582,0.2432505399305101,0.2422356933880463
4,0.19447316125152272,0.16674411354674262,0.13543020494120134,0.1628561316156839,0.1460430021129606,0.15148899666791163
5,0.30492202156731096,0.21728578946488813,0.2027963801786099,0.256335753571861,0.2380596392066107,0.2484301923244002
8,0.2377340015821488,0.14440774341844492,0.14526080921243748,0.18916011166313082,0.18097220855149806,0.1982177292870868
10,0.1011281387513952,0.07254639456783116,0.07553755851100868,0.08523225150101686,0.08112458237734418,0.08549934490672015
13,0.03051365143254485,0.027189646041199507,0.016374757262513102,0.02512222205944007,0.03544043115931069,0.03340420083999287
14,0.29103697939071016,0.18146253069151827,0.1555683224425704,0.24738395681085684,0.21098358997642214,0.21871057282383466
16,0.08763723843160974,0.04767545173637475,0.06096328743195997,0.07177636141812135,0.07338516747984199,0.0732794621547032
17,0.20117048446856808,0.17385574808395324,0.1441187327904954,0.16285746894516584,0.15573625294001459,0.15801843362183873
18,0.08035981353469591,0.07249285242996124,0.06778431691287617,0.05470822720604263,0.06107137437338937,0.05890826921685143
19,0.05433315520313994,0.008231773883663094,0.018085974564298207,0.06223606922287184,0.04352966858596493,0.058093866773748976
20,0.19998364820762357,0.12497165603147391,0.11764643823894978,0.1583109782214702,0.14016077663059476,0.15427427749089978
22,0.23671493735968313,0.18738677088047018,0.16822823959089883,0.19494913989081403,0.19943243051652396,0.20581793780018043
23,0.17634493514174643,0.12645086488777058,0.13428021647243926,0.14425920384815494,0.16209141709980227,0.16935735326041884
24,0.18907844599978987,0.14327440419468446,0.13163153973143032,0.15685470082449218,0.13189560888143192,0.13931510335440733
26,0.36927055650268814,0.29320190340989527,0.25628136752902425,0.3071032124608968,0.2810350191321981,0.2935376348425501
27,0.09619095291299357,0.051580586554901,0.05450043753594014,0.0740377936735446,0.05754277455812324,0.07094849144850937
