model,training_loss,validation_loss,epoch,f1_micro,f1_macro,f1_Narrative_Structure_Quality,f1_Character_Emotion,f1_Originality,f1_Immersion,f1_Thematic_Depth,f1_Writing_Style
Qwen/Qwen3-4B,0.6304428747354769,0.8770580257309808,2,0.5831960461285008,0.503388818699425,0.7058823529411765,0.6268656716417911,0.2926829268292683,0.5666666666666667,0.24,0.5882352941176471
Qwen/Qwen3-1.7B,0.750847258497687,0.9036999286545647,2,0.5923344947735192,0.5235169951458433,0.7272727272727273,0.600896860986547,0.3076923076923077,0.5084745762711864,0.33962264150943394,0.6571428571428571
