story_id,Coherence_std,Empathy_std,Surprise_std,Engagement_std,Complexity_std,Relevance_std
1,0.2756692597982369,0.14940594153073714,0.2537984123842036,0.25879123194111664,0.33103043932428566,0.2811128310549368
3,0.12013036106015237,0.05450896752600968,0.11646361506433849,0.11826074617663779,0.15245209376672786,0.14169369258297868
4,0.2163937849826705,0.13807859113931117,0.17264685131351035,0.18603316295547134,0.21830407756071118,0.1978318734238921
5,0.21002808554674726,0.18276476379070175,0.19046102365057807,0.22261020517587027,0.2839495401484277,0.1669001848360176
8,0.3795740446103151,0.19429975118222617,0.34027450402525194,0.36889558771525827,0.4347205121786605,0.3777193093181148
10,0.22830036448858196,0.1641337806895477,0.16548856717344737,0.18903005638608894,0.14741402450996044,0.17641067111997394
13,0.26799312183272334,0.1397496477339091,0.23095495830799084,0.26429274189266094,0.2958461808230832,0.2598259865589717
14,0.23812594387388522,0.18784413510064327,0.2256386075337292,0.2466809969239381,0.28647514691983517,0.20606856733666434
16,0.3142679057301999,0.18211010464109853,0.27605241855552937,0.28378773518653655,0.36594828114951516,0.31364381395884583
17,0.19122733159782052,0.13539048715871077,0.1692324302737164,0.16274184381678655,0.24438738704256432,0.20268409637564538
18,0.16761750800181072,0.1339619999443659,0.1160581284586096,0.14352155757231216,0.14677615440501038,0.1541156400214917
19,0.19023599383696574,0.1309317606721199,0.17385051383122907,0.18826330898998075,0.2125572095172028,0.1752421012797741
20,0.22518965985912404,0.19307065408569257,0.19125682447626885,0.20107689942146934,0.22610822344269227,0.18296939282010546
22,0.1303155234900645,0.0991616381284457,0.11859294557732024,0.13623020997690544,0.18503233313123277,0.11717487274630232
23,0.08769959053082849,0.0701236202241427,0.07601779548889596,0.08443821653637602,0.13586566522836666,0.08349731420544498
24,0.17493733500860412,0.11021671029623661,0.1578926049804103,0.17465984064928142,0.19459447795440782,0.1589256417136326
26,0.1861823950787838,0.21083977466585305,0.17890169838729375,0.2063583847220035,0.24649474956086928,0.13352052556001145
27,0.17300772534542005,0.16801316078002526,0.17339751270028722,0.18748095510404295,0.20683991953506461,0.16071359316081577
31,0.11159880409760393,0.0812220830491387,0.10159795607912386,0.11916872504264905,0.13725635577108203,0.1110529168289307
32,0.16655469565039246,0.10775093301273192,0.1403724127015424,0.15146905994862256,0.17257274903307793,0.15591001247220188
34,0.2517549315511184,0.17980856493257724,0.1906764082819856,0.2159272899958367,0.21604925991217921,0.2147062861962294
37,0.2560988331881121,0.1651281966332147,0.2289036058261766,0.22886253719670938,0.2979613868260138,0.2588577835214699
39,0.20003469117860515,0.21772744552821557,0.17259629107595392,0.19890458076643994,0.2106544207688424,0.14348652893343888
40,0.21872384056238445,0.1662501020220159,0.16863044244559228,0.1809017656188053,0.19141768786862653,0.17738509141428915
41,0.25808822928528885,0.1309459375227635,0.23135219651030317,0.23068686444166508,0.2844757794146644,0.25577944712547407
42,0.25320946462179317,0.1523032756195858,0.22424774201022837,0.25566353641756195,0.2889676770941057,0.22683610240904895
46,0.20029974523396274,0.19398382375928172,0.1703409681310475,0.19716866446546336,0.21045889218152092,0.15475870763546476
48,0.1985203133383908,0.11155500905291127,0.17733388966322527,0.19723731842781542,0.2442613203078839,0.19184136427290727
49,0.1785261770082802,0.09632277713912114,0.16761653794639955,0.16875287849530363,0.2021686418091437,0.18183025865483327
50,0.20651972556437018,0.1649032626597593,0.17610866853487683,0.208942019680943,0.1985126007078328,0.15042745976006555
52,0.22113755396876808,0.1952389752162884,0.17518651711328645,0.1794016278778763,0.18440303210311954,0.18202429186646962
54,0.1210782169134177,0.06091296196576186,0.11757604123334152,0.1427500698234746,0.15544490110147713,0.12260830095806848
57,0.37678595426452827,0.22540981846644056,0.31824313696578216,0.3695909206771083,0.3941158346957145,0.35766190878210546
58,0.397738130458949,0.2254686169527445,0.33992943977055784,0.3778691983261901,0.4213053529588169,0.37355237910870565
59,0.2786300872122486,0.18390908638842032,0.21956124951517936,0.27464961571594426,0.2786255194812204,0.25495284454475176
60,0.18404727734409873,0.14920964091173763,0.15424117605496174,0.16642134536038153,0.1797486280688953,0.15377946247092955
63,0.2219516733170437,0.18952163379432851,0.2302011474326515,0.25624522629385876,0.34001445712495054,0.21064634756355588
65,0.21542248893158208,0.1199962326384862,0.20172049408597123,0.2038897729540722,0.27617498888010633,0.2271391785352302
67,0.14557520225968415,0.128464035742754,0.13112653227257767,0.14056271845524798,0.18309962735305252,0.12494243643643875
68,0.20972474767660282,0.16304385398870103,0.17933527241617797,0.20111300766608017,0.23580383359483936,0.19324606328005692
69,0.3099033049093564,0.16538747539148269,0.2641219117622407,0.298868574488662,0.3285544270246696,0.3161821767483294
70,0.2228416999361371,0.16364645716574117,0.19193648584785292,0.21336750424892784,0.22769796317240298,0.18854400451238199
73,0.1709425006634179,0.12381566483899685,0.1495680047070185,0.16107977602532253,0.18890811549702038,0.1692998332545981
74,0.16919151236671728,0.10958951545943293,0.14921529047921922,0.15707947801787658,0.2001825916264144,0.16024309323175592
75,0.23615706003373657,0.1320089571203595,0.21010995479523992,0.22546532521964863,0.2778817506577813,0.24224512697140538
76,0.17652483606065053,0.12296994663874798,0.14373406635608824,0.15908554092776717,0.20458355208796855,0.15340631041777703
78,0.24637009220321474,0.17700536499822062,0.195496510462422,0.20750129779871787,0.24546179566537898,0.2134489564828848
81,0.4038432123639842,0.21998518290161978,0.349421258359316,0.3744529512522089,0.434866423798646,0.3902920950700291
84,0.2061849451288332,0.11386365571812598,0.1556047014623536,0.15778388370197943,0.1609201509120151,0.1902636458452731
85,0.23866384241866762,0.19271970231013796,0.21308822579030925,0.23830282353340293,0.24501363448601676,0.1850788362877233
87,0.346937715418336,0.17825200970323377,0.3028147413810663,0.3339576334157147,0.3813586059536607,0.3578713330919476
89,0.22020402676873516,0.12151971941258617,0.2007582460334435,0.21959157946885022,0.24636214701224082,0.20531147165413016
90,0.1976163697750938,0.12702689972915077,0.177311503174271,0.20467254892670964,0.2103343305603506,0.16597214027933857
93,0.32124702523385756,0.18254363808368426,0.26741241934044196,0.2985872560600594,0.34317355798998045,0.3186785334110993
94,0.07298162935066473,0.07847825643699742,0.0641935856293868,0.07753269171562288,0.07926663888072924,0.05336185622057275
95,0.19341928857141935,0.10508151744548327,0.17240062076496326,0.18642515798418427,0.22287330641947922,0.20023469455387244
99,0.1910088931730087,0.08656563681163391,0.16986690374198524,0.17953012337452323,0.22940261299694795,0.19816407005554457
102,0.14925305351829393,0.1410806525187926,0.12010424464813496,0.13221613634464366,0.16161277758901876,0.11316330407340963
103,0.17070939276858538,0.09178351827881338,0.1459345808349607,0.1553129727275971,0.18827451899844797,0.16144073399314043
104,0.224739852252319,0.13509675315058908,0.22286001804966776,0.23133262967197543,0.32852162175708005,0.23407508260814092
105,0.24496570205621473,0.14710658509256197,0.2008713389028558,0.22456130434446836,0.25348448297048454,0.22504889965309952
106,0.11225664041065489,0.10016502117578423,0.09278802112869682,0.11015344711846628,0.12287847050218433,0.10495337877660306
108,0.14901349407690628,0.14764812852088813,0.1492147169780585,0.16730946519649148,0.18783079648584097,0.1343337830799894
109,0.10271096140686828,0.05953306365323769,0.10586197005803659,0.11803525055058287,0.14634103350920788,0.1045813541856925
111,0.2800013535309509,0.16956444507222465,0.25425385219613655,0.26758672211736795,0.3290650573349745,0.27281627586601975
112,0.22383602869523803,0.1753302607417995,0.22532444324086412,0.22087894265449756,0.3102218836909717,0.2158291240635613
114,0.1415111011233558,0.1056077842615848,0.11353843307149475,0.12550694500365972,0.15198339846569128,0.12375373012704678
117,0.3259016736393046,0.26447898604353764,0.2731304619757855,0.30514821945517806,0.3483127023364548,0.2786390820543117
118,0.4194813638357884,0.25804391420529194,0.3730214779813712,0.4232694693063026,0.4870474030707227,0.3883093070851452
122,0.3255189854214753,0.1946367397944968,0.29773057397417557,0.3141302465773469,0.4042042217041049,0.3318007571926707
123,0.21473189034716594,0.09478352270352107,0.2085723311556645,0.21535758072794228,0.2770225069325582,0.24335964260963344
124,0.2816227672315401,0.1667805935862124,0.2514422379985558,0.2839803111390525,0.33900898838389754,0.27275148651536996
134,0.2530021922062025,0.1547228139729999,0.22522793483038822,0.24213550486572638,0.30573359638509934,0.24414814655963216
137,0.3658238014590235,0.20817565227393509,0.33274487583338164,0.34238427433520324,0.4214496086387997,0.3584749734809355
139,0.22435328764971674,0.1593189312571231,0.1829085350143062,0.2272643518475935,0.22455814583364478,0.18276802034669387
140,0.18819969077279924,0.13332358962543406,0.16100831733354048,0.17474285999155983,0.2232287235316808,0.17048354061328058
141,0.22522807253461713,0.1507406392200092,0.24192695769290629,0.2545590785921245,0.3182171911540281,0.2092015106201839
144,0.15028114128418352,0.11045251851905732,0.11135909353932526,0.12240656140798038,0.13231286701143674,0.12020983881564222
145,0.26759732589429014,0.2217769811817756,0.24540581037674203,0.27005184608940425,0.3169048667524778,0.24982697055275555
148,0.1366818931660565,0.11248739081454087,0.11212396458693019,0.12354701535831013,0.16260770747276046,0.1196956399160905
149,0.42579762982048275,0.21416934235742485,0.3714062523280049,0.39964614668230714,0.4866270869435389,0.44429091046372693
155,0.18936151496549267,0.12494789533133958,0.168515228845538,0.19324996516084691,0.24248812236213885,0.16632465371434052
157,0.19821350244098626,0.16525776507997147,0.17144652142897093,0.1829466662620967,0.21111706299829952,0.20392054114540906
158,0.268915667365212,0.16337849763954723,0.2385197877255945,0.25194542264183534,0.31082559719461345,0.28103253142200235
159,0.16904961896163553,0.10036668536477461,0.14296065290920743,0.17122223556573665,0.18630868595621916,0.15462057131432846
160,0.2756666253582791,0.16709307796058603,0.23183149495540295,0.24846761845030454,0.29459394145286777,0.2690553765178095
161,0.25743170109031394,0.1984526723920918,0.22454281800199163,0.23994848349970618,0.2848635273792555,0.22691804133615207
162,0.22249034429919742,0.14391598671764752,0.2073438132201386,0.21749638869556978,0.27103353524311247,0.22592312416354385
165,0.13133341518146582,0.05799417920657814,0.12559346356793294,0.13065263799176138,0.16290760547165709,0.13852063865799408
167,0.2643970426027999,0.13314885161189255,0.24371288862759827,0.2724475983846668,0.3179490420942514,0.28029731038095274
168,0.17369080965235148,0.152153089702188,0.15506973131659796,0.1615766218896158,0.19456092486357007,0.15293458431662244
170,0.18523417648702462,0.11582904754063764,0.17001526780979623,0.18933906595715122,0.2564044236944522,0.19604601839738595
172,0.20245773854445537,0.13815787980833752,0.17440924812020678,0.20678458690180412,0.24892011061481215,0.17821775364395415
173,0.2916283760666236,0.17934244295348634,0.25248289295675674,0.26687475098233093,0.32837923964014853,0.28096052248211234
174,0.35056330354641463,0.24693834958993305,0.25506083967024773,0.280484533748937,0.2181254953878909,0.3017708623866294
175,0.1193573286418727,0.06130564619236651,0.10879906619517817,0.11024581146133075,0.13273225305492292,0.12283341873644381
176,0.15511982446136666,0.118519156465404,0.13873932192001537,0.16045408367620495,0.1720230185909701,0.12567816843370894
177,0.3260420689776639,0.1751586320373563,0.29099840613740563,0.3150702647568123,0.41200493563174073,0.33007073440062895
178,0.08792892556363728,0.05621932126049102,0.09561190308278485,0.08686692780024131,0.1522001249947454,0.15430073009120154
181,0.3857268398632916,0.2183030644714441,0.3480789425773589,0.38683609399395164,0.46874083592985694,0.39077476602131267
182,0.22151660833619574,0.19082096862710798,0.21753205229831568,0.2151948497676082,0.26924655069997566,0.20883403234611359
183,0.2986924780575747,0.13442077728075305,0.26934775117048726,0.30634185005352904,0.3524841744068901,0.32188261388645983
186,0.1641514364779022,0.1540500542852859,0.15900894105478822,0.1703273416639806,0.20716370467191447,0.1595495058171463
187,0.17590888295639903,0.1044355362668096,0.1511290872698775,0.16562175144903168,0.19713857469923962,0.16369919738885647
188,0.26892508990136904,0.18555909773108267,0.23215388920123847,0.24833780058001617,0.2914383544884646,0.23757406942013531
189,0.22844034139963765,0.1775884003057359,0.19352554728651206,0.2030659044105341,0.25070302055317173,0.20870657905528914
190,0.23789013125472314,0.1692739155297718,0.22439561110204972,0.24261096999540413,0.3007486396357721,0.21655969083112894
191,0.1702173258224492,0.12086087585516496,0.15136960383095227,0.1645983115517574,0.2160070479619648,0.15997298019170408
194,0.4410066647389324,0.2709309962270394,0.3823594231509695,0.42426646282613245,0.4911066812494594,0.4331321478587403
196,0.34592532058629644,0.1962524172458418,0.30117230036447984,0.31498822131724097,0.38930850423274654,0.34670407311951257
198,0.16834349339710372,0.11728859047070615,0.17036640405977121,0.18392757308283667,0.2163122740476707,0.17082842508667093
