,pred_1,pred_2,pred_3,pred_4,pred_5
gold_1,74,644,419,6,0
gold_2,38,791,1205,3,0
gold_3,24,507,1133,1,0
gold_4,9,173,533,2,0
gold_5,2,57,199,12,0
