,pred_1,pred_2,pred_3,pred_4,pred_5
gold_1,25,329,435,0,0
gold_2,27,418,984,8,0
gold_3,4,276,785,9,0
gold_4,19,251,836,40,0
gold_5,12,253,1049,72,0
