,pred_1,pred_2,pred_3,pred_4,pred_5
gold_1,28,403,577,3,0
gold_2,30,390,1259,7,0
gold_3,15,300,1357,17,0
gold_4,12,192,761,22,0
gold_5,2,68,366,23,0
