,pred_1,pred_2,pred_3,pred_4,pred_5
gold_1,278,1446,25,0,0
gold_2,113,1442,110,0,0
gold_3,79,1372,160,0,0
gold_4,29,395,107,0,0
gold_5,11,205,60,0,0
